depot_id,depot_code,depot_name,region_code,region_name,zone_id,zone_name,credential_details,additional_information,primary_link,n_links
3,NB12003,OKHLA,NB,Delhi Region,3,North Zone,,,http://203.194.111.183:8800/Okhla/okhla-1.html,1
4,NB12002,NEW PUSA (CTO),NB,Delhi Region,3,North Zone,,,http://122.160.40.160:8800/Pusa/Pusa-1.html,1
5,NB13001,NARELA,NB,Delhi Region,3,North Zone,,,http://203.194.111.183:8800/Narela/Narela-1.html,3
6,NB13003,SHAKTINAGAR,NB,Delhi Region,3,North Zone,,,http://59.177.180.116/,3
7,NB13002,GHEVRA,NB,Delhi Region,3,North Zone,,,http://203.194.111.183:8800/Ghevra/G-1.html,5
8,NC14003,FSD TARAORI,NC,Haryana Region,3,North Zone,,,http://rvmcctv.in/FCI-FSD/tarawadi.php,1
9,NC14003,FSD TARAORI,NC,Haryana Region,3,North Zone,,,http://rvmcctv.in/FCI-FSD/tarawadi.php,1
10,NC15003,FSD KAITHAL I,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_KAITHAL1.HTML,1
11,NC15005,FSD KAITHAL II,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_KAITHAL.HTML,1
12,NC13012,FSD SIRSA,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_SIRSA.HTML,1
13,NC16006,BG NARWANA,NC,Haryana Region,3,North Zone,,,http://139.59.55.211/NarwanaBGD1.html,1
14,NC15001,FSD CHEEKA,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_CHEEKA.HTML,1
15,NC15004,FSD PEHOWA,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_PEHOWA.HTML,1
16,NC15002,FSD KURUKSHETRA,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_KURUKSHETA.HTML,1
17,NC16001,FSD GOHANA,NC,Haryana Region,3,North Zone,,,http://rvmcctv.in/FCI-FSD/Gohana.php,1
18,NC13002,FSD BHATTU,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_BATTU.HTML,1
19,NC13005,FSD DABWALI,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_DABWALI.HTML,1
20,NC14001,FSD AMBALA CANTT,NC,Haryana Region,3,North Zone,,,http://rvmcctv.in/FCI-FSD/ambala.php,1
21,NC13001,FSD BARWALA,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_BARWALA.HTML,1
22,NC13004,FSD BAWANI KHERA,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_BHAWANIKERA.HTML,1
23,NC13003,FSD BHIWANI,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_BHIWANI.HTML,1
24,NC13006,FSD ELLENABAD,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_ELLENABAD.HTML,1
25,NC13008,FSD HISSAR,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_HISAR.HTML,1
26,NC13009,FSD KALANWALI,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_KALANWALI.HTML,1
27,NC16002,FSD NARWANA,NC,Haryana Region,3,North Zone,,,http://139.59.55.211/NarwanaD1.html,1
28,NC16003,FSD ROHTAK,NC,Haryana Region,3,North Zone,,,http://rvmcctv.in/FCI-FSD/rohtak.php,1
29,NC16007,FSD SAFIDON,NC,Haryana Region,3,North Zone,,,http://rvmcctv.in/FCI-FSD/Safindo.php,1
30,NC13011,FSD TOHANA,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_TOHANA.HTML,1
31,NC13010,BG SIRSA,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_BG_SIRSA.HTML,1
32,NC13007,FSD FATEHABAD,NC,Haryana Region,3,North Zone,,,http://fcicctv.in/FCI_HR_FATEHABAD.HTML,1
33,ND13003,CHAMBA,ND,HP Region,3,North Zone,,,http://fcicctv.in/FCI_HP_CHAMBA.HTML,1
34,ND14001,KULLU,ND,HP Region,3,North Zone,,,http://fcicctv.in/FCI_HP_KULLU.HTML,1
35,ND14002,HAMIRPUR,ND,HP Region,3,North Zone,,,http://fcicctv.in/FCI_HP_HAMIRPUR.HTML,1
36,ND13002,UNA,ND,HP Region,3,North Zone,,,http://fcicctv.in/FCI_HP_UNA.HTML,1
37,ND13008,FSD TANDA KHOLI,ND,HP Region,3,North Zone,,,http://fcicctv.in/FCI_HP_TANDAKHOLI.HTML,1
38,ND13007,BANE DE HATTI RANITAL,ND,HP Region,3,North Zone,,,http://192.168.150.104/,1
39,NE13005,BARAMULA,NE,J&K Region,3,North Zone,,,http://fcicctv.in/FCI_JK_BARAMULLA.HTML,1
40,NE13009,BUDGAM,NE,J&K Region,3,North Zone,,,http://fcicctv.in/FCI_JK_BUDGAAM.HTML,1
41,NE13002,SRINAGAR,NE,J&K Region,3,North Zone,,,http://fcicctv.in/FCI_JK_SRINAGAR.HTML,1
42,NE12001,CHATHA,NE,J&K Region,3,North Zone,,,http://fcicctv.in/FCI_JK_CHATHA.HTML,2
43,NE12006,POONCH,NE,J&K Region,3,North Zone,,,http://fcicctv.in/FCI_JK_POONCH.HTML,1
44,NE12003,KATHUA,NE,J&K Region,3,North Zone,,,http://fcicctv.in/FCI_JK_KATHUA.HTML,2
45,NE12005,RAJOURI,NE,J&K Region,3,North Zone,,,http://fcicctv.in/FCI_JK_RAJOURI.HTML,2
46,NE12002,NEW GODOWN JAMMU,NE,J&K Region,3,North Zone,,,http://fcicctv.in/FCI_JK_NEWGODOWN.HTML,1
47,NE13007,KUPWARA,NE,J&K Region,3,North Zone,,,88afb3db71445e2c,1
48,NE12007,KISHTWAR,NE,J&K Region,3,North Zone,,,0a7463ef8387c4f9,1
49,NE12004,KHILLANI (DODA),NE,J&K Region,3,North Zone,,,4cb7d14e1713b2e1,1
50,FD12001,DHARAMNAGAR,FD,NEF Region,5,North East Zone,,,http://lamkaonline.com/fci/dharmanagar/,1
51,FD12003,NANDAN NAGAR,FD,NEF Region,5,North East Zone,,,http://lamkaonline.com/fci/nandannagar/,1
52,FD16002,SHILLONG,FD,NEF Region,5,North East Zone,,,http://lamkaonline.com/fci/shillong/,1
53,FE14001,DIMAPUR,FE,Nagaland Region,5,North East Zone,,,http://lamkaonline.com/dimapurfci/,1
54,FE14002,MOKOKCHUNG,FE,Nagaland Region,5,North East Zone,,,https://www.cpplusworld.com/software,1
55,FE14004,MON,FE,Nagaland Region,5,North East Zone,,,https://www.cpplusworld.com/software,1
56,FE14002,MOKOKCHUNG,FE,Nagaland Region,5,North East Zone,,,https://www.cpplusworld.com/software,1
57,FE14006,FSD PHESAMA,FE,Nagaland Region,5,North East Zone,,,https://www.cpplusworld.com/software,1
58,FE14002,MOKOKCHUNG,FE,Nagaland Region,5,North East Zone,,,https://lamkaonline.com/fci/mokokchung/index.php,1
59,FF12005,SANGAIPROU,FF,Manipur Region,5,North East Zone,,,http://lamkaonline.com/fci/sangaiprou/,1
60,FF12004,UKHRUL,FF,Manipur Region,5,North East Zone,,,https://play.google.com/store/apps/detailsidcom.mm.android.direct.g_CMOB_XU&amp;hlen_IN&amp;glUS,1
61,FF12003,JIRIBAM,FF,Manipur Region,5,North East Zone,,,https://play.google.com/store/apps/detailsidcom.mm.android.direct.g_CMOB_XU&amp;hlen_IN&amp;glUS,1
62,FF12001,SENAPATI,FF,Manipur Region,5,North East Zone,,,https://www.hikvision.com/en/support/download/software/Hik-Connect/,1
63,FB16001,DIPHU,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsdhojai,1
64,FB20002,TANGLA,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsdtangla,1
65,FB18005,GOALPARA,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsdramnagar,1
66,FB16003,SENCHOWA,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsdsenchowa,1
67,FB16002,HOJAI,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsdhojai,1
68,FB13005,CWC CINNAMARA,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsdcinnamara,1
69,FB14001,GOSSAIGAON,FB,Assam Region,5,North East Zone,,,http://lamkaonline.com/fci/gossaigaon/,1
70,FB19002,TINSUKIA,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsdtinsukia,1
71,FB19001,CHAULKHOWA,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsdchaulkhowa,1
72,FB12001,NEW GUWAHATI,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsdguwahati,1
73,FB15001,FSD DHEMAJI,FB,Assam Region,5,North East Zone,,,https://fciassam.livestreamx.in/fsddhemaii,1
74,FB15003,FSD NARAYANPUR,FB,Assam Region,5,North East Zone,,,http://orange.instaon.com,1
75,FB20001,BINDUKURI,FB,Assam Region,5,North East Zone,,,Mobile app-gCMOB install the app from play store and open click the icon on top right and add instal on select wired devices fill in serial no user name and password start live preview,1
76,FB20001,BINDUKURI,FB,Assam Region,5,North East Zone,,,Same process for GCmob.,1
77,FC12001,BANDERDEWA,FC,Arunachal Region,5,North East Zone,,,http://orange.instaon.com,1
78,FC12007,PASIGHAT,FC,Arunachal Region,5,North East Zone,,,http://orange.instaon.com,1
