country,export_fy2023_24_usd_mn,export_fy2024_25_usd_mn,pct_growth
AFGHANISTAN,0.01,,
ALBANIA,0.01,0.07,689.33
ANGOLA,0.00,0.00,1640.91
AUSTRALIA,0.27,0.37,33.34
BAHARAIN IS,,0.01,
BANGLADESH PR,0.75,0.75,-1.06
BELGIUM,0.00,0.00,-98.61
BENIN,0.00,,
BHUTAN,0.00,0.00,93.73
BRAZIL,0.00,0.00,28552.71
BRUNEI,,0.00,
BULGARIA,,0.00,
CAMBODIA,0.03,0.16,380.31
CAMEROON,0.06,0.19,189.88
CANADA,0.02,0.17,657.95
CHILE,0.44,0.04,-91.26
CHINA P RP,0.98,1.76,79.68
COLOMBIA,0.02,0.01,-27.49
CONGO D. REP.,,0.02,
COSTA RICA,0.01,0.00,-72.48
COTE D' IVOIRE,0.02,0.04,104.21
CROATIA,0.04,,
CYPRUS,,0.02,
CZECH REPUBLIC,0.00,0.03,417.04
DJIBOUTI,0.12,0.07,-47.44
DOMINIC REP,0.07,0.06,-9.19
ECUADOR,0.03,0.05,49.78
EGYPT A RP,0.21,0.28,33.35
ETHIOPIA,0.02,0.05,162.66
FIJI IS,0.00,,
FR POLYNESIA,0.00,,
FRANCE,0.00,0.00,535.77
GAMBIA,0.05,0.00,-93.89
GEORGIA,0.33,,
GERMANY,0.13,0.13,-2.13
GHANA,0.07,0.00,-98.93
GREECE,0.05,0.04,-8.04
GUATEMALA,,0.04,
GUINEA,0.05,0.02,-66.29
GUYANA,0.01,0.00,-94.54
HUNGARY,0.00,0.00,109.92
INDONESIA,0.46,1.00,116.09
IRAN,0.22,,
IRAQ,0.04,0.05,39.29
IRELAND,,0.00,
ISRAEL,,0.00,
ITALY,0.12,0.18,47.43
JAMAICA,0.01,0.01,144.17
JAPAN,0.24,0.32,33.07
JORDAN,0.01,0.06,343.55
KAZAKHSTAN,,0.00,
KENYA,0.98,1.17,19.77
KOREA RP,0.12,0.13,7.30
KUWAIT,0.32,0.09,-72.65
LATVIA,0.00,,
LIBERIA,,0.02,
LIBYA,,0.02,
LITHUANIA,0.01,0.00,-91.57
MACEDONIA,0.07,,
MADAGASCAR,0.09,0.09,0.93
MALAWI,0.00,0.06,2221.26
MALAYSIA,0.16,0.14,-13.18
MALDIVES,0.30,0.29,-3.18
MAURITIUS,0.05,0.06,2.21
MEXICO,,0.03,
MONGOLIA,0.01,,
MOZAMBIQUE,0.13,0.00,-96.84
MYANMAR,0.14,0.08,-44.07
NEPAL,2.36,2.66,12.83
NETHERLAND,0.24,0.30,23.80
NEW ZEALAND,0.08,0.13,68.11
NIGER,0.00,0.06,93181.96
NIGERIA,0.01,0.10,760.02
OMAN,0.00,0.03,1123.39
PAKISTAN IR,,0.01,
PERU,0.21,0.27,29.38
PHILIPPINES,1.18,2.62,123.01
POLAND,0.01,0.00,-98.73
PORTUGAL,,0.04,
QATAR,0.01,,
REUNION,0.00,,
ROMANIA,0.00,0.08,1631.17
RUSSIA,0.10,0.22,119.90
SAUDI ARAB,0.05,0.00,-94.88
SENEGAL,0.06,0.04,-32.98
SERBIA,0.00,0.00,-99.97
SEYCHELLES,0.00,,
SIERRA LEONE,0.01,,
SINGAPORE,0.04,0.06,47.90
SLOVENIA,,0.00,
SOMALIA,0.02,0.03,74.45
SOUTH AFRICA,0.03,0.02,-33.29
SPAIN,0.15,0.28,89.15
SRI LANKA DSR,0.66,0.59,-10.19
SWITZERLAND,0.00,0.00,-68.80
TAIWAN,,0.00,
TANZANIA REP,0.25,0.30,19.70
THAILAND,0.34,0.20,-40.18
TRINIDAD,0.02,0.01,-28.88
TUNISIA,0.06,0.06,3.93
TURKEY,0.55,0.56,1.27
U ARAB EMTS,0.11,2.10,1826.68
U K,0.09,0.25,175.86
U S A,2.60,12.19,368.27
UGANDA,0.01,0.05,598.68
UZBEKISTAN,0.00,,
VIETNAM SOC REP,0.80,0.85,6.02
ZAMBIA,,0.01,
ZIMBABWE,0.03,0.00,-93.60
