country,import_fy2023_24_usd_mn,import_fy2024_25_usd_mn,pct_growth
ARGENTINA,4.25,2.81,-33.79
AUSTRALIA,0.21,0.44,108.13
BRAZIL,0.43,0.12,-71.22
CANADA,4.76,6.60,38.66
CHILE,,0.13,
CHINA P RP,5.44,8.99,65.24
EGYPT A RP,0.17,0.20,17.96
FRANCE,1.78,0.37,-78.93
GERMANY,0.06,0.04,-38.08
HONG KONG,0.25,,
INDONESIA,0.91,0.77,-15.87
IRELAND,0.20,0.07,-64.62
ISRAEL,1.46,1.85,26.65
ITALY,8.03,7.81,-2.75
JAPAN,0.01,,
KOREA RP,0.00,,
MALAYSIA,,0.00,
MEXICO,1.06,0.53,-49.62
NETHERLAND,0.11,0.49,357.58
NEW ZEALAND,0.10,,
NORWAY,1.38,1.73,25.49
SINGAPORE,0.13,,
SOUTH AFRICA,0.13,0.78,520.83
SPAIN,1.56,1.53,-1.93
TAIWAN,0.07,0.02,-70.27
THAILAND,0.21,0.15,-28.07
TURKEY,0.00,,
U K,0.05,0.03,-38.27
U S A,7.03,7.54,7.21
UNSPECIFIED,0.05,,
VIETNAM SOC REP,0.86,1.34,56.44
